test_id,node,test_category,test_description,test,result,failure_reason
1,clab-evpnlab-leaf1,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
2,clab-evpnlab-leaf2,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
3,clab-evpnlab-spine1,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
4,clab-evpnlab-spine2,NTP,Synchronised with NTP server,NTP,FAIL,not synchronised to NTP server
5,clab-evpnlab-leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_CLAB-EVPNLAB-SPINE1_Ethernet1,PASS
6,clab-evpnlab-leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_CLAB-EVPNLAB-SPINE2_Ethernet1,PASS
7,clab-evpnlab-leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - h11_Eth1,PASS
8,clab-evpnlab-leaf1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet4 - h12_Eth1,PASS
9,clab-evpnlab-leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_CLAB-EVPNLAB-SPINE1_Ethernet2,PASS
10,clab-evpnlab-leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_CLAB-EVPNLAB-SPINE2_Ethernet2,PASS
11,clab-evpnlab-leaf2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet3 - h21_Eth1,PASS
12,clab-evpnlab-spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_CLAB-EVPNLAB-LEAF1_Ethernet1,PASS
13,clab-evpnlab-spine1,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_CLAB-EVPNLAB-LEAF2_Ethernet1,PASS
14,clab-evpnlab-spine2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet1 - P2P_LINK_TO_CLAB-EVPNLAB-LEAF1_Ethernet2,PASS
15,clab-evpnlab-spine2,Interface State,Ethernet Interface Status & Line Protocol == "up",Ethernet2 - P2P_LINK_TO_CLAB-EVPNLAB-LEAF2_Ethernet2,PASS
16,clab-evpnlab-leaf1,Interface State,Vlan Interface Status & Line Protocol == "up",Vlan110 - Tenant_A_Zone_1,PASS
17,clab-evpnlab-leaf1,Interface State,Vlan Interface Status & Line Protocol == "up",Vlan111 - Tenant_A_Zone_2,PASS
18,clab-evpnlab-leaf1,Interface State,Vlan Interface Status & Line Protocol == "up",Vlan210 - Tenant_A_Zone_3,PASS
19,clab-evpnlab-leaf1,Interface State,Vlan Interface Status & Line Protocol == "up",Vlan211 - Tenant_A_Zone_4,PASS
20,clab-evpnlab-leaf2,Interface State,Vlan Interface Status & Line Protocol == "up",Vlan110 - Tenant_A_Zone_1,PASS
